claim,fact_checker,rating
Presidential daughter Malia Obama was named the highest-paid heir in 2017.,Dan Evon,FALSE
,,
"The modern image of Jesus is modeled on Cesare Borgia, a gangster's son.",Kim LaCapria,false
,,
A video shows hundreds of people getting knocked over by a giant rotating bar.,Dan Evon,FALSE
A man was sentenced to 22 years in prison for stealing a remote control.,Dan Evon,MIXTURE
"Meryl Streep was fired by director Ron Howard from a from a ""Happy Days"" reboot project for lying about Donald Trump mocking a disabled reporter.",David Emery,False
MMA fighter Ronda Rousey has been found dead in her bathtub.,Kim LaCapria,false
Meryl Streep applauded for Roman Polanski at the Academy Awards in 2003.,Dan Evon,TRUE
"Gravity Payments CEO Dan Price rented his house in order to make ends meet after taking a $900,000 pay cut and raising the minimum salary at his company to $70,000.",Dan Evon,mixture
Actress and comedian Sherri Shepherd has died of a heart attack.,David Emery,False
"""Harry Potter"" creator J.K. Rowling revealed that lead film actor Daniel Radcliffe is Chinese.",Bethania Palma,false
Donald Trump gave an unprecedented order for all politically appointed ambassadors to resign immediately.,Dan Evon,mixture
Hillary Clinton said several insulting things about Michelle Obama in a leaked 20 October 2016 e-mail.,Kim LaCapria,false
An episode of the 1950s western TV series 'Trackdown' featured a snake oil salesman named 'Trump' who promised to build a wall in order to prevent the end of the world.,Dan Evon,TRUE
,,
"A man locked his daughter in a cage because she used Snapchat's ""dog filter"" too frequently.",Kim LaCapria,false
Women in a dangerous situation at a bar can order an angel shot to ensure safe passage into an Uber and away from a frightening man.,Kim LaCapria,mixture
CNN altered a photograph of Esteban Santiago to make his skin appear lighter.,Dan Evon,FALSE
"Individuals are legitimately identifying as and calling for acceptance of a new identity known as ""clovergender.""",Kim LaCapria,false
A cartoon from Norway depicting Donald Trump in a diaper was banned from Twitter.,Dan Evon,FALSE
"A ""YXX"" notation on Donald Trump's Selective Service record indicates he suffers from the genetic condition Klinefelter syndrome.",David Emery,False
Bob Denver died in January 2017.,Dan Evon,FALSE
"Canadian immigrants with ""two wives"" receive a host of government benefits upon their their arrival.",Arturo Garcia,false
,,
Infamous criminal Charles Manson has been found dead in his prison cell.,David Mikkelson,false
,,
Donald Trump said that America's economy crashing would lead to riots demanding we make the country great again.,Bethania Palma,correctly attributed
,,
"Civil rights activist DeRay Mckesson made and quickly deleted a tweet in which he said he had ""no problem"" with a contemporaneous viral Facebook Live crime in Chicago.",Kim LaCapria,false
A photograph shows Jesse Owens and Hitler shaking hands at the 1936 Olympics.,Dan Evon,FALSE
Six anti-Trump protesters were killed by a truck in the course of demonstrating on a freeway.,Kim LaCapria,false
,,
Michelle Obama's Secret Service detail abruptly quit during her Hawaii vacation and left her on the street.,Dan Evon,FALSE
,,
Donald Trump revoked the press credentials of six major news outlets.,Dan Evon,FALSE
"Cone-shaped skulls found in Latin America are of alien, not human, origin.",Bethania Palma,false
,,
"Sting video maker James O'Keefe plans to ""infiltrate"" the Women's March on Washington.",Bethania Palma,unproven
,,
,,
A photograph shows a Palestinian boy after he was shot in the heart by an Israeli soldier during the First Intifada.,Dan Evon,FALSE
The U.S. Army is investigating ways to build biodegradable bullets that will sprout into plants.,Alex Kasprak,True
Anyone who bought milk after 2003 can be compensated under the terms of a class action lawsuit.,Kim LaCapria,mixture
Television viewers can drastically lower the TV ratings for Donald Trump's inauguration by changing the channel.,Dan Evon,MOSTLY FALSE
Adam Sandler was found dead of an apparent suicide in January 2017.,Kim LaCapria,false
,,
,,
Rapper Snoop Dogg threatened any black artist who performs at Donald Trump's inauguration.,Bethania Palma,mostly false
,David Mikkelson,true
President Obama trademarked the name 'Obamacare' and receives royalties every time the term is used.,Dan Evon,FALSE
,,
Chicago Bulls Rajon Rondo and New Orleans Pelicans Anthony Davis were traded in a five player deal in January 2017.,Dan Evon,FALSE
"Article details 'four things you didn't know' about Martin Luther King, Jr.",David Mikkelson,mostly false
"Sarah Palin blamed the Fort Lauderdale shooting on ""Mexican Muslim"" immigrants.",Bethania Palma,false
Musician Kodak Black was shot outside of a nightclub in Florida in December 2016.,Dan Evon,FALSE
Stacks of file folders presented as evidence that President-elect Donald Trump was turning his business holdings over to his children were empty and/or contained blank sheets of paper.,David Emery,Unproven
Hackers can extract fingerprints from peace sign selfies and steal people's identities.,Kim LaCapria,unproven
A former Army sniper shot three violent home intruders in the course of their victimizing a neighbor's household.,Kim LaCapria,false
"Hillary Clinton has been rated ""most admired woman"" by Gallup polls 21 times.",Bethania Palma,true
"Former president Barack Obama referred to himself 75 times during his farewell speech, compared to just 3 self-references by President Donald Trump in his inaugural address.",Dan Evon,mixture
,,
Melania Trump's biography on the White House web site promotes her jewelry line.,Arturo Garcia,mostly true
"Capsaicin, the spice-causing molecule in chili peppers, can help beat breast cancer.",Alex Kasprak,Unproven
"There is a faceless, semi-human monster called Slenderman who stands eight feet tall, has tentacles for arms, stalks and eats small children, and communicates telepathically with his human servants, called ""proxies.""",David Emery,False
The Clinton Foundation is shutting down due to lack of donations.,Bethania Palma,mixture
Donald Trump requested tanks and missile launchers at his inaugural parade.,Kim LaCapria,unproven
"Canadian officials planted a ""privacy hedge"" along that country's border with the U.S.",Arturo Garcia,FALSE
,,
"President Donald Trump's proposed 2020 re-election campaign slogan (""Keep America Great"") was used in a 'Purge' film.",Kim LaCapria,true
A photograph shows President Obama taking the oath of office with his hand on a Quran.,Dan Evon,FALSE
"Congressman John Lewis didn't pay property taxes on his townhouse in Washington, D.C.",Bethania Palma,unproven
A photograph shows two men standing next to a dog who had its ears cut off.,Dan Evon,TRUE
"A highway sign in Maryland told drivers to ""Consider Canada"" due to inauguration traffic.",Dan Evon,FALSE
"Donald Trump removed the terms ""LGBT"" and ""climate change"" from the White House web site.",Dan Evon,MIXTURE
A photograph captured Joe Biden posing menacingly with an elderly woman and a gun.,Kim LaCapria,false
A pilot refused to let President Obama onboard a helicopter after he failed to salute a Marine.,Dan Evon,FALSE
Early images depict massive crowds at the 20 January 2017 inauguration of Donald Trump.,Kim LaCapria,false
A photograph shows a homeless woman outside in the cold holding a dead baby.,Dan Evon,mixture
"The Hampton United Methodist Church called Donald Trump a pervert, a con artist, and a fascist on their church sign.",Dan Evon,FALSE
,,
President-elect Donald Trump was pictured at a cross burning with the KKK.,Dan Evon,FALSE
,,
Donald Trump posed for a fake speechwriting photograph at an auction house's receptionist's desk.,Kim LaCapria,false
"Russia minted ""In Trump We Trust"" coins ahead of the 45th U.S. president's inauguration.",Bethania Palma,mixture
Coretta Scott King wrote a letter opposing Jeff Session's confirmation for appointment as a federal judge.,Arturo Garcia,true
,,
President Obama ordered a life-sized bronze statue of himself to be permanently installed at the White House.,Dan Evon,FALSE
American intelligence has confirmed that President-elect Donald Trump was blackmailed by Russian operatives.,Bethania Palma,unproven
,,
,,
,,
A web site allows criminals to look up the personal information of police officers.,Bethania Palma,mostly true
,,
Senator Elizabeth Warren said that women being raped was an acceptable cost for the tolerance of Muslims and praised Planned Parenthood.,Kim LaCapria,false
Sentries guarding the Tomb of the Unknowns remained at their posts through Hurricane Isabel.,David Mikkelson,true
,,
An animated image shows Meryl Streep mocking a disabled person on a late night talk show.,Dan Evon,FALSE
,,
,,
Image is a screenshot of a sincere debate between Facebook friends over the Affordable Care Act and Obamacare.,Kim LaCapria,undetermined
A video shows bystanders at Walmart doing nothing to intervene when a man experiencing a seizure is robbed of his wallet.,Bethania Palma,mixture
,,
"Dr. Martin Luther King, Jr. said ""Our lives begin to end the day we become silent about things that matter.""",David Emery,mixture
"Harrison Ford compared Donald Trump to ""patriots"" such as Indiana Jones, Han Solo, and Jack Ryan.",Dan Evon,FALSE
"Donald Trump  advocated not washing hands after using the restroom as a ""power play"" in his 1987 book",Dan Evon,FALSE
,,
Hollywood is going on strike until Donald Trump resigns from the presidency.,Dan Evon,FALSE
A study has determined that Nutella brand spread includes a known carcinogen among its ingredients.,snopes.com staff,false
,,
,,
,,
"President Obama was captured on a ""hot mic"" making offensive comments to Al Sharpton at a Martin Luther King, Jr. Day event.",Kim LaCapria,false
"The U.S. government was sued and found culpable for the murder of Martin Luther King, Jr., but the news media refused to report it.",Kim LaCapria,mostly false
,,
Chinese people are selling each other bags of fresh air because of air pollution.,Bethania Palma,mixture
,,
"Vanilla ice cream was originally a deep, dark black color before white people demanded it be changed in 1912.",Kim LaCapria,false
The remains of a Nazi soldier were found in the belly of a giant catfish.,Dan Evon,false
,,
,,
"A ""quick-thinking mom"" distracted a robber by performing a sex act on him in order to allow her family to safely escape.",Kim LaCapria,false
"A government report from 2008 states that 35,000 veterans of the first Gulf War died as a direct result of adverse effects from an Anthrax vaccine they were mandated to receive.",Alex Kasprak,Unproven
Donald Trump's official inauguration poem describes Barack Obama as a tyrant.,Dan Evon,MOSTLY FALSE
,,
,,
"The American Civil Liberties Union has demanded police in Washington, D.C. disable their body cameras for the duration of inaugural protests in 2017.",Kim LaCapria,mostly false
,,
,,
Speaker Paul Ryan is blocking all incoming calls and faxes to his various offices.,Kim LaCapria,unproven
The group Demand Protest LLC is paying $2500 for people to protest Donald Trump's inauguration.,Dan Evon,FALSE
"Americans can use their birth certificates to access secret ""strawman"" funds.",Arturo Garcia,false
Two college students have vowed to remove their own penises to protest a planned U.S.-Mexico border wall.,Arturo Garcia,false
Microwave ovens were banned in the USSR in 1976 to protect its citizens from harmful health effects.,Alex Kasprak,False
A photograph shows a large group of bikers on their way to Donald Trump's inauguration.,Dan Evon,FALSE
A Russian sex worker said Donald Trump was one of her clients and that he has a small penis.,Kim LaCapria,false
,,
President-elect Donald Trump's inauguration will be the first presidential inauguration that Rep. John Lewis has skipped.,Kim LaCapria,false
"Rep. Chris Collins, a member of President-elect Donald Trump's transition team, compared civil rights icon Rep. John Lewis to ""a spoiled chimp who got too many bananas and rights.""",David Emery,False
Donald Trump's 2017 swearing-in was the most viewed presidential inauguration in history.,Dan Evon,unproven
One of the first acts of the Trump administration was to seek the end of U.S. participation in the United Nations.,David Mikkelson,mostly false
Maps and other escape aids were smuggled to Allied POWs in Monopoly sets during World War II.,David Mikkelson,true
,,
"Donald Trump had a bust of Marin Luther King, Jr. removed from display in the Oval Office on his first day in the White House.",David Emery,False
Mike Pence said that he was disappointed in husbands and fathers for allowing women to participaite in the Women's March.,Dan Evon,FALSE
Official Department of Interior Twitter accounts were temporarily deactivated after the National Park Service account was used to retweet negative information about the incoming Trump administration.,David Emery,True
Donald Trump plagiarized portions of 'Bee Movie' and 'Avatar' for his inaugural address.,Dan Evon,FALSE
Donald Trump hung a photograph of the Women's March at the White House believing that it showed his inauguration.,Dan Evon,MOSTLY FALSE
"Demonstrators at the Women's March on Washington carried signs that said ""babies are useless.""",Bethania Palma,false
"NASA is lying about the path of a recently discovered asteroid, and it will actually cause widespread destruction when it hits Earth in February 2017.",Alex Kasprak,False
,,
,,
"John Wayne said that he believed in white supremacy during an interview with ""Playboy"" magazine.",Dan Evon,TRUE
,,
,,
,,
,,
,,
"Farmers feed their cattle candy, such as Skittles.",Dan Evon,TRUE
,,
,,
Kellyanne Conway punched a man while breaking up a fight at an inauguration ball.,Bethania Palma,unproven
A video investigation showed that Planned Parenthood lies about providing prenatal care.,Dan Evon,MOSTLY FALSE
,,
,,
,,
President Trump ordered the execution of several turkeys pardoned by President Obama.,Kim LaCapria,false
President Trump disparaged Navajos on Twitter on 20 January 2017.,Kim LaCapria,false
,,
Warren Buffett proposed a constitutional amendment that seeks to require laws apply equally to U.S. citizens and members of Congress.,David Mikkelson,false
A Gucci ensemble worn by Trump counselor Kellyanne Conway to the inauguration closely resembled a 1970s 'Simplicity' pattern.,Kim LaCapria,false
,,
,,
Lawmakers are creating harsher criminal penalties for protesters,Bethania Palma,mixture
"Female lawmakers unveiled a bill prohibiting the disposal of ""unused semen.""",Kim LaCapria,false
,,
,,
,,
"Dan Rather has come out of retirement as a newsman to ""topple"" the Trump administration?",Bethania Palma,mixture
,,
President Barack Obama put his hand on Melania Trump's buttocks during her husband's 20 January 2017 inauguration.,Dan Evon,FALSE
The senate voted 51-48 to repeal the Affordable Care Act on 12 January 2017.,Dan Evon,MOSTLY FALSE
"People are being victimized by scammers who call and ask ""Can you hear me?"" and record the ""yes"" response in order to use it to authorize fake charges.",Kim LaCapria,unproven
Former President Obama's daughters Malia and Sasha were arrested for vandalism in Hawaii.,Dan Evon,FALSE
"The Women's March on Washington is tallying attendees by asking them to text ""COUNT ME"" to 89800.",Kim LaCapria,mixture
"""Snowflake"" was a Nazi term used to describe the remains of those who were incinerated during the Holocaust.",Dan Evon,FALSE
Donald Trump doctored a White House photograph to make his hands appear larger.,Dan Evon,FALSE
,,
,,
,,
The Chili's restaurant chain donates 15 percent of every sale to Planned Parenthood.,Kim LaCapria,mostly false
"President Obama defied Congress and ""quietly"" sent $221 million in aid to the Palestinian Authority.",Bethania Palma,mixture
"Rachel Maddow tweeted that Donald Trump needs to be ""taken out"" before he destroys America.",Dan Evon,FALSE
,,
,,
,,
,,
A Saturday Night Live writer was suspended for tweeting about Trump's youngest child.,Bethania Palma,true
,,
President Donald Trump posited that Canadian women were the second biggest threat to America following ISIS.,Kim LaCapria,false
President Obama promoted former Taliban captive Bowe Bergdahl to staff sergeant.,Dan Evon,FALSE
"Vice President Mike Pence claimed that ""well over half"" of the people at the Womens' March on Washington supported President Donald Trump.",Arturo Garcia,False
The FBI raided the CDC in the middle of the night to seize data on a link between vaccines and autism.,Kim LaCapria,false
,,
President Trump tweeted that drug testing would soon be mandatory for all recipients of government assistance.,Kim LaCapria,false
Images depict scantily clad women taking part in a January 2017 Women's March event.,Kim LaCapria,false
,,
President Trump's administration shut down the White House phone comment line.,Dan Evon,mostly false
"Mike Pence tweeted that calls to ban Muslims from entering the U.S. are ""offensive and unconstitutional.""",David Emery,True
,,
,,
,,
President Trump needs Senate confirmation in order for Steve Bannon to sit on the National Security Council.,Bethania Palma,unproven
Donald Trump's executive order restricting U.S. travel from predominantly-Muslim nations does not include countries where he has business interests.,Arturo Garcia,TRUE
,,
,,
,,
"As a result of President Trump's January 2017 executive order on immigration, an Islamic State leader was captured at a New York airport.",Kim LaCapria,false
"A photograph shows Melania Trump's grandmother, Olga Orlif, who was a Soviet Soldier in World War II.",Dan Evon,FALSE
,,
"KellyAnne Conway said that being labelled racist is a small price to pay for making the country ""great again.""",Dan Evon,FALSE
"President Obama banned immigration from Iraq for six months in 2011, but the media buried the story.",Kim LaCapria,mostly false
,,
President Trump plans to make it illegal to be transgender.,Kim LaCapria,false
NASA now says that burning fossil fuels cools the planet.,Alex Kasprak,False
President Donald Trump criticized Prime Minister Justin Trudeau for excessive Facebook usage.,Kim LaCapria,false
Top advisers to President Trump believe he is misleading them about being blackmailed by Russia.,Bethania Palma,unproven
"President Donald Trump changed the constitution to read ""citizens"" instead of ""persons.""",Dan Evon,MOSTLY FALSE
Donald Trump's presidential campaign unveiled a new logo that resembles a swastika.,Dan Evon,false
President Trump has ordered the construction of concentration camps in the U.S.,Dan Evon,MIXTURE
,,
White House Press Secretary Sean Spicer retweeted a satirical item from 'The Onion'  about himself.,Kim LaCapria,true
President Trump's executive order limiting travel and immigration from certain countries was made possible under a bill signed into law by President Obama in 2015.,Kim LaCapria,mixture
An NPR study determined that 25 million fraudulent votes had been cast for Hillary Clinton in the 2016 presidential election.,Kim LaCapria,false
,,
"Starbucks offered free drink upgrades to customers who provided the name ""Aloha Snackbar"" to their baristas.",Dan Evon,FALSE
A photograph shows Canadian Prime Minister Justin Trudeau watering a tree in the rain.,Dan Evon,FALSE
,,
,,
Pope Francis condemned Donald Trump for issuing a temporary travel ban in January 2017.,Dan Evon,mostly false
Clint Eastwood said that Americans should be less concerned about offending each other and more concerned about offending god.,Dan Evon,FALSE
Washing instruction tags on Tom Bihn bags carry a hidden message in French disparaging the president.,David Mikkelson,mixture
A photograph shows an x-ray of a 900-pound man.,Dan Evon,FALSE
"Photograph depicts the removal of Bill Cosby's Hollywood ""Walk of Fame"" Star.",Kim LaCapria,False
,,
A new male contraception product allows a man to control the flow of sperm by flicking a switch.,Dan Evon,MIXTURE
A UFO portal was filmed over the Large Hadron Collider.,Dan Evon,FALSE
"A Pepsi employee in South Bend, Indiana was improperly terminated; while managers claimed he stole a case of soda, other employees confirmed the family's needs placed a fiscal burden on the company.",Kim LaCapria,Undetermined
Bill Clinton told Tony Blair that he likes to punch slabs of ham.,Dan Evon,FALSE
Human traffickers are targeting young girls near the Great Lakes Crossing theater with a powdered drug that incapacitates them.,Kim LaCapria,False
,,
"Janet Reno said in gun control that waiting periods and registration were a ""step,"" but ""prohibition of private firearms"" remained ""the goal"" of such measures.",Kim LaCapria,False
"George Washington said that a free people need ""sufficient arms and ammunition to maintain a status of independence"" from their own government.",Dan Evon,FALSE
"According to a body language expert, a photograph of President Obama crying reveals he is a psychopath.",Kim LaCapria,False
A study proved you're thousands of times more likely to be killed by a doctor than a gun in the United States.,Kim LaCapria,False
A photograph shows an abandoned submarine in a desert.,Dan Evon,FALSE
,,
Michael Jordan will drop the price of all Air Jordan shoes to $19.99 in 2017.,Dan Evon,FALSE
New Hampshire state representative Josh Moore said that a woman shouldn't breastfeed in public if she doesn't want to be groped by men.,Dan Evon,MIXTURE
Eric Holder participated in the armed occupation of a Columbia University ROTC office in 1970.,Kim LaCapria,Mostly False
Comedian Bill Cosby committed suicide shortly after he was charged with sexual assault in December 2015.,Dan Evon,FALSE
Archaeologists dug up an 800-year-old alien cellphone in Austria.,Dan Evon,FALSE
A video shows Koko the gorilla spontaneously using sign language to issue a warning about climate change.,David Mikkelson,FALSE
A browser extension can eliminate all mention of Donald Trump from a user's online experience.,Brooke Binkowski,true
Michele Bachmann said that solar power drains the sun of heat.,Dan Evon,FALSE
A recent study revealed that one-third of pediatricians refuse to recommend the Gardasil HPV vaccine to patients.,Kim LaCapria,Mostly False
You can get free Wendy's Frostys all year long if you purchase a $1 Frosty Key Tag.,Kim LaCapria,Mixture
Hippopotamuses are the only animals that produce naturally pink milk.,Dan Evon,FALSE
,,
,,
Ammon Bundy posted a message on Twitter comparing himself to Rosa Parks.,Dan Evon,FALSE
Apple is eliminating the headphone jack for iPhone 7 in order to force users to purchase expensive Bluetooth equipment or proprietary headphones.,Kim LaCapria,Mixture
Two police officers in Georgia cumulatively killed more than 250 people and remain at large.,Kim LaCapria,False
"Bill Cosby has received a pardon from President Obama for all ""current and future"" sexual assault charges.",Dan Evon,FALSE
"A riot broke out after a woman accidentally defecated while administering ""vodka butt shots"" on New Year's Eve.",Kim LaCapria,False
A photograph depicts a Six Flags roller coaster under floodwaters in January 2016.,Kim LaCapria,False
"President Obama said that ""if we pass more gun laws, crime will go away.""",Dan Evon,FALSE
"Connecticut gun owners have started receiving ""gun confiscation letters.""",Kim LaCapria,Mostly False
Criminals are furtively wedging coins into car door handles in order to more easily break into vehicles.,Kim LaCapria,False
Chevy Chase died of a heart attack on 4 January 2016.,Dan Evon,FALSE
A photograph shows a baseball stadium repurposed as a housing project.,Dan Evon,MIXTURE
"Delaware has issued a new ""child support card"" that cannot be used to purchase items such as alcohol or cigarettes.",Dan Evon,FALSE
CNN host Fareed Zakaria posted a blog entry calling for white women to be raped by Islamic minority groups.,snopes.com staff,FALSE
Powerball winners John and Lisa are giving away money on Facebook.,Dan Evon,FALSE
"Queen Elizabeth said that she would ""take America back"" if Donald Trump gets elected president.",Dan Evon,FALSE
"A 15-year-old girl named Rosemary Gullett is missing from her Portland, Oregon, home.",David Mikkelson,outdated
,,
A Florida man was emasculated during an attempt to engage in sexual relations with a pit bull.,Kim LaCapria,False
An image shows musicians David Bowie and Lemmy Kilmister together at a party.,Dan Evon,FALSE
Gasoline prices have been dramatically lower during the Obama administration than the Bush administration because Obama has no ties to the oil and gas industries.,Stephanie Larsen,MIXTURE
A photograph shows President Obama wearing American flag glasses after the 2016 State Of The Union Address.,Dan Evon,MIXTURE
"Kentucky county clerk Kim Davis was seated amongst several same-sex couples at 2016's ""State of the Union"" address.",Kim LaCapria,False
,,
Actor Sean Penn was killed in January 2016.,Dan Evon,FALSE
The Pentagon purchased five million Powerball tickets at a cost of $10 million so they could buy more F-35s if they won.,Kim LaCapria,False
A Virginia lawmaker proposed a bill that mandates on-site physical examinations of children's genitals to determine which gendered bathroom they're authorized to use.,Kim LaCapria,mixture
A photograph shows the living conditions of a group of pigs.,Dan Evon,MIXTURE
An elderly birdwatcher had a physical altercation with an Oregon militant at the Malheur National Wildlife Refuge.,Dan Evon,FALSE
"Former ""Full House"" star Ashley Olsen was murdered.",Dan Evon,FALSE
A $1.5 billion powerball lottery drawing scheduled for 13 January 2016 has been cancelled.,Dan Evon,FALSE
'Scarface' is being remade with Leonardo DiCaprio cast as Tony Montana.,Kim LaCapria,False
,,
,,
,,
A photograph shows Hillary Clinton in blackface and Bill Clinton dressed as a hillbilly.,Dan Evon,FALSE
A photograph shows a baby great white shark.,Dan Evon,FALSE
,,
"Alan Rickman stated he envisioned sitting in a rocking chair at 80, reading 'Harry Potter' books to his grandchildren.",Kim LaCapria,False
The three winners of the $1.6 Powerball lottery have identified themselves on social media.,Dan Evon,FALSE
,,
A hedge fund manager named Jared Price won the $1.6 billion Powerball lottery.,Dan Evon,FALSE
,,
